word,part_of_speech,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
a,determiner/indefinite article,S1,W1,eɪ (strong)/ə (weak),,
abandon,v,,W3,,əˈbændən,əˈbænd(ə)n
ability,n,S2,W1,,əˈbɪlətɪ,əˈbɪlɪtɪ
able,adj,S1,W1,ˈeɪbl,,
about,prep,S1,W1,əˈbaʊt,,
about,adv,S1,W1,əˈbaʊt,,
above,adv/prep,S2,W1,əˈbʌv,,
above,adj,,W3,əˈbʌv,,
abroad,adv,S2,W3,əˈbrɔːd,,
absence,n,S3,W2,,ˈæbsəns,ˈæbs(ə)ns
absolute,adj,S2,W3,ˈæbsəluːt,,
absolutely,adv,S1,W3,ˈæbsəluːtlɪ,,
absorb,v,,W3,,əbˈzɔːrb,əbˈzɔːb
abuse,n,S2,W3,,əˈbjuːs (strong)/əˈbjuːs (weak),əˈbjuːz (strong)/əˈbjuːz (weak)
academic,adj,,W2,,ˌækəˈdemɪk,ækəˈdemɪk
accept,v,S1,W1,əkˈsept,,
acceptable,adj,S3,W3,,əkˈseptəbl,əkˈseptəb(ə)l
access,n,S2,W1,ˈækses,,
accident,n,S2,W2,,ˈæksɪdənt,ˈæksɪd(ə)nt
accommodation,n,S2,W2,,əˌkɑːməˈdeɪʃn,əkɒməˈdeɪʃ(ə)n
accompany,v,,W2,əˈkʌmpənɪ,,
according to,prep,S2,W1,,,
account,n,S1,W1,əˈkaʊnt,,
account,v,S3,W2,əˈkaʊnt,,
accurate,adj,S2,W3,,ˈækjərət,ˈækjʊrət
accuse,v,,W3,əˈkjuːz,,
achieve,v,S2,W1,əˈtʃiːv,,
achievement,n,S3,W2,,əˈtʃiːvmənt,əˈtʃiːvm(ə)nt
acid,n,,W3,ˈæsɪd,,
acknowledge,v,S3,W3,,əkˈnɑːlɪdʒ,əkˈnɒlɪdʒ
acquire,v,,W2,,əˈkwaɪər,əˈkwaɪə
across,adv/prep,S1,W1,,əˈkrɔːs,əˈkrɒs
act,n,S1,W1,,ˈækt,ækt
act,v,S2,W1,,ˈækt,ækt
action,n,S1,W1,,ˈækʃn,ˈækʃ(ə)n
active,adj,S2,W2,ˈæktɪv,,
activist,n,S3,,ˈæktɪvɪst,,
activity,n,S2,W1,,ækˈtɪvətɪ,ækˈtɪvɪtɪ
actor,n,,W3,,ˈæktər,ˈæktə
actual,adj,S1,W2,ˈæktʃʊəl,,
actually,adv,S1,W1,ˈæktʃʊəlɪ,,
ad,n,S3,W3,æd,,
adapt,v,,W3,əˈdæpt,,
add,v,S1,W1,æd,,
addition,n,S3,W1,,əˈdɪʃn,əˈdɪʃ(ə)n
additional,adj,S3,W2,,əˈdɪʃənl,əˈdɪʃ(ə)n(ə)l
address,n,S2,W2,əˈdres,,
address,v,S2,W2,əˈdres,,
adequate,adj,S3,W3,ˈædɪkwət,,
adjust,v,,W3,əˈdʒʌst,,
administration,n,S2,W2,,ədˌmɪnɪˈstreɪʃn,ədmɪnɪˈstreɪʃ(ə)n
administrative,adj,,W3,,ədˈmɪnɪstreɪtɪv,ədˈmɪnɪstrətɪv
admire,v,S3,,,ədˈmaɪər,ədˈmaɪə
admission,n,,W3,,ədˈmɪʃn,ədˈmɪʃ(ə)n
admit,v,S2,W1,ədˈmɪt,,
adopt,v,S3,W2,,əˈdɑːpt,əˈdɒpt
adult,n,S2,W2,ˈædʌlt,,
adult,adj,,W3,ˈædʌlt,,
advance,n,S2,W2,,ədˈvæns,ədˈvɑːns
advance,v,,W3,,ədˈvæns,ədˈvɑːns
advanced,adj,,W3,,ədˈvænst,ædˈvɑːnst
advantage,n,S2,W1,,ədˈvæntɪdʒ,ədˈvɑːntɪdʒ
advert,n,S3,,,ˈædvɜːrt,ˈædvɜːt
advertise,v,S3,W3,,ˈædvərtaɪz,ˈædvətæɪz
advertisement,n,S3,,,ˌædvərˈtaɪzmənt,ədˈvɜːtɪzm(ə)nt
advertising,n,,W3,,ˈædvərtaɪzɪŋ,ˈædvətæɪzɪŋ
