word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
able,S1,W1,ˈeɪbl,,
above,,W3,əˈbʌv,,
absolute,S2,W3,ˈæbsəluːt,,
academic,,W2,,ˌækəˈdemɪk,ækəˈdemɪk
acceptable,S3,W3,,əkˈseptəbl,əkˈseptəb(ə)l
accurate,S2,W3,,ˈækjərət,ˈækjʊrət
active,S2,W2,ˈæktɪv,,
actual,S1,W2,ˈæktʃʊəl,,
additional,S3,W2,,əˈdɪʃənl,əˈdɪʃ(ə)n(ə)l
adequate,S3,W3,ˈædɪkwət,,
administrative,,W3,,ədˈmɪnɪstreɪtɪv,ədˈmɪnɪstrətɪv
adult,,W3,ˈædʌlt,,
advanced,,W3,,ədˈvænst,ædˈvɑːnst
afraid,S1,W2,əˈfreɪd,,
aged,,W3,eɪdʒd,,
aggressive,S3,,əˈɡresɪv,,
alive,S2,W3,əˈlaɪv,,
all right,S1,W2,,,
alone,S2,W1,əˈləʊn,,
alternative,S2,W2,,ɔːlˈtɜːrnətɪv,ɔːlˈtɜːnətɪv
amazing,S2,,əˈmeɪzɪŋ,,
ancient,,W2,,ˈeɪnʃənt,ˈeɪnʃ(ə)nt
angry,S3,W3,ˈæŋɡrɪ,,
annual,S2,W2,ˈænjʊəl,,
anxious,S3,W3,,ˈæŋkʃəs,ˈæŋ(k)ʃəs
apart,S2,W1,,əˈpɑːrt,əˈpɑːt
apparent,,W2,,əˈpærənt,əˈpær(ə)nt
appropriate,S2,W1,,əˈprəʊprɪət,əˈprəʊprɪeɪt
approximate,S3,W3,,əˈprɑːksɪmət,əˈprɑːksɪmeɪt
armed,S3,W3,,ɑːrmd,ɑːmd
artificial,S3,,,ˌɑːrtɪˈfɪʃl,ɑːtɪˈfɪʃ(ə)l
ashamed,S3,,əˈʃeɪmd,,
asleep,S2,,əˈsliːp,,
attractive,S2,W2,əˈtræktɪv,,
automatic,S3,,,ˌɔːtəˈmætɪk,ɔːtəˈmætɪk
available,S1,W1,,əˈveɪləbl,əˈveɪləb(ə)l
average,S2,W2,,ˈævərɪdʒ,ˈæv(ə)rɪdʒ
awake,S3,,əˈweɪk,,
aware,S1,W1,,əˈwer,əˈweə
awful,S1,,,ˈɔːfl,ˈɔːfʊl
awkward,S3,,,ˈɔːkwərd,ˈɔːkwəd
back,S2,W3,bæk,,
bad,S1,W1,bæd,,
basic,S2,W1,ˈbeɪsɪk,,
beautiful,S1,W2,,ˈbjuːtɪfl,ˈbjuːtɪfʊl
best,S1,W1,best,,
better,S1,W1,,ˈbetər,ˈbetə
big,S1,W1,bɪɡ,,
bitter,S3,W3,,ˈbɪtər,ˈbɪtə
black,S1,W1,blæk,,
blank,S3,,blæŋk,,
