word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
about,S1,W1,əˈbaʊt,,
above,S2,W1,əˈbʌv,,
abroad,S2,W3,əˈbrɔːd,,
absolutely,S1,W3,ˈæbsəluːtlɪ,,
across,S1,W1,,əˈkrɔːs,əˈkrɒs
actually,S1,W1,ˈæktʃʊəlɪ,,
after,S1,W1,,ˈæftər,ˈɑːftə
afterwards,S2,W3,,ˈæftərwərdz,ˈɑːftəwədz
again,S1,W1,əˈɡen,,
ago,S1,W1,əˈɡəʊ,,
ahead,S1,W2,əˈhed,,
all,S1,W1,ɔːl,,
all right,S1,W2,,,
almost,S1,W1,ˈɔːlməʊst,,
alone,S2,W1,əˈləʊn,,
along,S1,W1,,əˈlɔːŋ,əˈlɒŋ
alongside,,W3,,əˌlɔːŋˈsaɪd,əlɒŋˈsaɪd
already,S1,W1,ɔːlˈredɪ,,
also,S1,W1,ˈɔːlsəʊ,,
altogether,S2,W3,,ˌɔːltəˈɡeðər,ɔːltəˈɡeðə
always,S1,W1,ˈɔːlweɪz,,
any,S2,,ˈenɪ,,
anyhow,S3,,ˈenɪhaʊ,,
anyway,S1,W2,ˈenɪweɪ,,
anywhere,S1,W3,,ˈenɪwer,ˈenɪweə
apart,S2,W1,,əˈpɑːrt,əˈpɑːt
apparently,S1,W2,əˈpærəntlɪ,,
around,S1,W1,əˈraʊnd,,
as,S1,W1,æz (strong)/əz (weak),,
aside,S3,W3,əˈsaɪd,,
automatically,S3,W3,ˌɔːtəˈmætɪklɪ,,
away,S1,W1,əˈweɪ,,
back,S1,W1,bæk,,
backwards,S3,,,ˈbækwərdz,ˈbækwədz
badly,S3,W3,ˈbædlɪ,,
basically,S1,,ˈbeɪsɪklɪ,,
before,S1,W1,,bɪˈfɔːr,bɪˈfɔː
beforehand,S3,,,bɪˈfɔːrhænd,bɪˈfɔːhænd
behind,S1,W1,bɪˈhaɪnd,,
below,S2,W2,bɪˈləʊ,,
beneath,,W2,bɪˈniːθ,,
best,S1,W2,best,,
better,S1,W1,,ˈbetər,ˈbetə
between,S1,W1,bɪˈtwiːn,,
beyond,S2,W1,,bɪˈjɑːnd,bɪˈjɒnd
bit,S1,W1,bɪt,,
briefly,S2,W3,ˈbriːflɪ,,
but,S2,W3,bʌt (strong)/bət (weak),,
by,S1,W1,baɪ,,
carefully,S2,W2,,ˈkerfəlɪ,ˈkeəf(ə)lɪ
certainly,S1,W1,,ˈsɜːrtnlɪ,ˈsɜːtnlɪ
clearly,S1,W1,,ˈklɪrlɪ,ˈklɪəlɪ
close,S2,W2,kləʊz,,
closely,S3,W2,ˈkləʊslɪ,,
completely,S1,W2,kəmˈpliːtlɪ,,
considerably,S3,,,kənˈsɪdərəblɪ,kənˈsɪd(ə)rəblɪ
constantly,S3,W3,,ˈkɑːnstəntlɪ,ˈkɒnst(ə)ntlɪ
currently,S2,W2,,ˈkɜːrəntlɪ,ˈkʌrəntlɪ
dead,S3,,ded,,
deep,,W3,diːp,,
deeply,,W3,ˈdiːplɪ,,
definitely,S1,,ˈdefɪnətlɪ,,
deliberately,S3,,,dɪˈlɪbərətlɪ,dɪˈlɪb(ə)rətlɪ
directly,S2,W2,,dəˈrektlɪ,dɪˈrektlɪ
down,S1,W1,daʊn,,
downstairs,S2,,,ˌdaʊnˈsterz,ˌdaʊnˈsteəz
downtown,S3,W3,ˌdaʊnˈtaʊn,,
early,S1,W1,,ˈɜːrlɪ,ˈɜːlɪ
easily,S2,W1,,ˈiːzəlɪ,ˈiːzɪlɪ
easy,S2,,ˈiːzɪ,,
effectively,S3,W2,ɪˈfektɪvlɪ,,
else,S1,W1,els,,
elsewhere,S3,W2,,ˌelsˈwer,elsˈweə
enough,S1,W1,ɪˈnʌf,,
entirely,S2,W2,,ɪnˈtaɪərlɪ,ɪnˈtaɪəlɪ
equally,S3,W2,,ˈiːkwəlɪ,ˈiːkw(ə)lɪ
especially,S1,W1,,ɪˈspeʃəlɪ,ɪˈspeʃ(ə)lɪ
essentially,S2,W3,,ɪˈsenʃəlɪ,ɪˈsenʃ(ə)lɪ
even,S1,W1,ˈiːvn,,
eventually,S1,W2,ɪˈventʃʊəlɪ,,
ever,S1,W1,,ˈevər,ˈevə
everywhere,S2,W3,,ˈevrɪwer,ˈevrɪweə
exactly,S1,W2,,ɪɡˈzæktlɪ,ɪɡˈzæk(t)lɪ
extremely,S2,W2,ɪkˈstriːmlɪ,,
fair,S2,W3,,fer,feə
fairly,S1,W2,,ˈferlɪ,ˈfeəlɪ
far,S1,W1,,fɑːr,fɑː
fast,S2,W3,,fæst,fɑːst
finally,S2,W1,ˈfaɪnəlɪ,,
fine,S3,,faɪn,,
first,S1,W2,,fɜːrst,fɜːst
firstly,S3,,,ˈfɜːrstlɪ,ˈfɜːs(t)lɪ
forever,S2,W3,,fərˈevər,fəˈrevə
formally,S3,,,ˈfɔːrməlɪ,ˈfɔːməlɪ
forth,S2,,,fɔːrθ,fɔːθ
forward,S1,W1,,ˈfɔːrwərd,ˈfɔːwəd
frankly,S3,,ˈfræŋklɪ,,
frequently,S3,W2,,ˈfriːkwəntlɪ,ˈfriːkw(ə)ntlɪ
fully,S2,W2,ˈfʊlɪ,,
further,S1,W1,,ˈfɜːrðər,ˈfɜːðə
generally,S2,W1,,ˈdʒenrəlɪ,ˈdʒen(ə)rəlɪ
gently,,W3,ˈdʒentlɪ,,
gradually,S3,W3,,ˈɡrædʒʊəlɪ,ˈɡrædʒʊlɪ
greatly,,W3,ˈɡreɪtlɪ,,
half,S2,,,hæf,hɑːf
halfway,S3,,,ˌhæfˈweɪ,hɑːfˈweɪ
hard,S1,W2,,hɑːrd,hɑːd
hardly,S2,W2,,ˈhɑːrdlɪ,ˈhɑːdlɪ
heavily,,W3,ˈhevɪlɪ,,
hence,,W3,hens,,
here,S1,W1,,hɪr,hɪə
high,S3,,haɪ,,
highly,S2,W2,ˈhaɪlɪ,,
home,S1,W1,həʊm,,
honestly,S2,,,ˈɑːnɪstlɪ,ˈɒnɪstlɪ
hopefully,S1,,,ˈhəʊpfəlɪ,ˈhəʊpfʊlɪ
how,S1,W1,haʊ,,
however,S1,W1,,haʊˈevər,haʊˈevə
ideally,S3,,,aɪˈdiːəlɪ,aɪˈdɪəl(l)ɪ aɪˈdiːəl(l)ɪ
immediately,S2,W1,ɪˈmiːdɪətlɪ,,
in,S1,W1,ɪn,,
increasingly,,W2,ɪnˈkriːsɪŋlɪ,,
incredibly,S3,,,ɪnˈkredəblɪ,ɪnˈkredɪblɪ
indeed,S1,W1,ɪnˈdiːd,,
inevitably,,W3,,ɪnˈevɪtəblɪ,ɪˈnevɪtəblɪ
initially,S3,W3,,ɪˈnɪʃəlɪ,ɪˈnɪʃ(ə)lɪ
inside,S2,W2,ˌɪnˈsaɪd,,
instead,S1,W1,ɪnˈsted,,
just,S1,W1,,dʒʌst,dʒəst
largely,S3,W2,,ˈlɑːrdʒlɪ,ˈlɑːdʒlɪ
last,S1,W1,,læst,lɑːst
late,S2,W3,leɪt,,
later,S1,W1,,ˈleɪtər,ˈleɪtə
left,S3,W3,left,,
less,S1,W1,les,,
like,S1,,laɪk,,
literally,S2,,,ˈlɪtərəlɪ,ˈlɪt(ə)rəlɪ
little,S1,W1,,ˈlɪtl,ˈlɪt(ə)l
long,S1,W1,,lɔːŋ,lɒŋ
lot,S1,W1,,lɑːt,lɒt
loud,S3,,laʊd,,
luckily,S3,,ˈlʌkɪlɪ,,
mainly,S2,W2,ˈmeɪnlɪ,,
maybe,S1,W1,,ˈmeɪbɪ,ˈmeɪbiː
meanwhile,,W2,ˈmiːnwaɪl,,
merely,S3,W2,,ˈmɪrlɪ,ˈmɪəlɪ
more,S1,W1,,mɔːr,mɔː
moreover,,W2,,mɔːrˈəʊvər,mɔːrˈəʊvə
most,S1,W1,məʊst,,
mostly,S2,W3,,ˈməʊstlɪ,ˈməʊs(t)lɪ
much,S1,W1,mʌtʃ,,
naturally,S3,W3,,ˈnætʃrəlɪ,ˈnætʃ(ə)rəlɪ
near,S1,W1,,nɪr,nɪə
nearly,S1,W1,,ˈnɪrlɪ,ˈnɪəlɪ
necessarily,S2,W2,,ˌnesəˈserəlɪ,ˈnesəs(ə)rɪlɪ
neither,S2,W3,,nɪːðə(r),ˈnaɪðə
never,S1,W1,,ˈnevər,ˈnevə(r)
nevertheless,S3,W2,,ˌnevərðəˈles,nevəðəˈles
newly,,W3,,ˈnuːlɪ,ˈnjuːlɪ
next,S1,W1,nekst,,
nicely,S3,,ˈnaɪslɪ,,
no,S1,W1,nəʊ,,
no way,S2,,,,
nope,S3,,nəʊp,,
nor,S2,W1,,nɔːr,nɔː
normally,S1,W2,,,
not,S1,W1,,nɑːt,nɒt
notably,,W3,ˈnəʊtəblɪ,,
now,S1,W1,naʊ,,
nowadays,S2,,ˈnaʊədeɪz,,
nowhere,S2,,,ˈnəʊwer,ˈnəʊweə
obviously,S1,W2,,ˈɑːbvɪəslɪ,ˈɒbvɪəslɪ
occasionally,S2,W3,,əˈkeɪʒnəlɪ,əˈkeɪʒ(ə)n(ə)lɪ
o’clock,S1,W3,,əˈklɑːk,əˈklɒk
of course,S1,W1,,,
off,S1,W1,,ɔːf,ɒf
often,S1,W1,,ˈɔːfn,ˈɒf(ə)n
OK,S1,,,əʊˈkeɪ,ˌəʊˈkeɪ
on,S1,W1,,ɑːn,ɒn
once,S1,W1,wʌns,,
only,S1,W1,ˈəʊnlɪ,,
originally,S2,W2,,əˈrɪdʒənəlɪ,əˈrɪdʒɪn(ə)lɪ
otherwise,S1,W2,,ˈʌðərwaɪz,ˈʌðəwaɪz
out,S1,W1,aʊt,,
outside,S1,W1,ˌaʊtˈsaɪd,,
over,S1,W1,,ˈəʊvər,ˈəʊvə
overseas,,W3,,ˌəʊvərˈsiːz,ˌəʊvəˈsiːz
particularly,S1,W1,,pərˈtɪkjələrlɪ,pəˈtɪkjʊləlɪ
partly,S2,W2,,ˈpɑːrtlɪ,ˈpɑːtlɪ
past,S1,W2,,pæst,pɑːst
perfectly,S2,W3,,ˈpɜːrfɪktlɪ,ˈpɜːfɪk(t)lɪ
perhaps,S1,W1,,pərˈhæps,pəˈhæps
personally,S2,,,ˈpɜːrsənəlɪ,ˈpɜːs(ə)n(ə)lɪ
physically,S3,,,ˈfɪzɪklɪ,ˈfɪzɪkəlɪ
possibly,S1,W2,,ˈpɑːsəblɪ,ˈpɒsɪblɪ
practically,S3,,ˈpræktɪklɪ,,
precisely,S2,W3,prɪˈsaɪslɪ,,
presumably,S1,W3,,prɪˈzuːməblɪ,prɪˈzjuːməblɪ
pretty,S1,W3,ˈprɪtɪ,,
previously,S3,W2,ˈpriːvɪəslɪ,,
primarily,,W3,,praɪˈmerəlɪ,ˈpraɪm(ə)rɪlɪ
probably,S1,W1,,ˈprɑːbəblɪ,ˈprɒbəblɪ
properly,S1,W2,,ˈprɑːpərlɪ,ˈprɒp(ə)lɪ
purely,S3,W3,,ˈpjʊrlɪ,ˈpjʊəlɪ
quick,S3,,kwɪk,,
quickly,S1,W1,ˈkwɪklɪ,,
quietly,S3,W3,ˈkwaɪətlɪ,,
quite,S1,W1,kwaɪt,,
rapidly,,W3,ˈræpɪdlɪ,,
rarely,,W2,,ˈrerlɪ,ˈreəlɪ
rather,S1,W1,,ˈræðər,ˈrɑːðə
readily,,W3,ˈredɪlɪ,,
really,S1,W1,ˈriːəlɪ,,
reasonably,S2,W3,ˈriːznəblɪ,,
recently,S1,W1,ˈriːsntlɪ,,
regularly,S3,W3,,ˈreɡjələrlɪ,ˈreɡjʊləlɪ
relatively,S2,W2,ˈrelətɪvlɪ,,
respectively,,W3,rɪˈspektɪvlɪ,,
right,S1,W1,raɪt,,
roughly,S2,,ˈrʌflɪ,,
round,S2,W2,raʊnd,,
same,S1,W1,seɪm,,
secondly,S3,,,ˈsekəndlɪ,ˈsek(ə)ndlɪ
seriously,S2,W2,,ˈsɪrɪəslɪ,ˈsɪərɪəslɪ
sharply,,W3,,ˈʃɑrplɪ,ˈʃɑːplɪ
shortly,S3,W3,,ˈʃɔːrtlɪ,ˈʃɔːtlɪ
significantly,S3,W2,,sɪɡˈnɪfɪkəntlɪ,sɪɡˈnɪfɪk(ə)ntlɪ
similarly,,W3,,ˈsɪmələrlɪ,ˈsɪmələlɪ
simply,S1,W1,ˈsɪmplɪ,,
since,S1,W1,sɪns,,
slightly,S1,W2,ˈslaɪtlɪ,,
slowly,S3,W2,ˈsləʊlɪ,,
so,S1,W1,səʊ,,
some,S1,W1,sʌm (strong)/səm (weak),,
somehow,S2,W2,ˈsʌmhaʊ,,
sometimes,S1,W1,ˈsʌmtaɪmz,,
somewhat,S3,W2,,ˈsʌmwʌt,ˈsʌmwɒt
somewhere,S1,W2,,ˈsʌmwer,ˈsʌmweə
soon,S1,W1,suːn,,
specifically,S2,W3,,spɪˈsɪfɪklɪ,spəˈsɪfɪkəlɪ
still,S1,W1,stɪl,,
straight,S1,W2,streɪt,,
strongly,S3,,,ˈstrɔːŋlɪ,ˈstrɒŋlɪ
subsequently,,W3,ˈsʌbsɪkwəntlɪ,,
successfully,,W3,səkˈsesfəlɪ,,
suddenly,S1,W1,,ˈsʌdənlɪ,ˈsʌd(ə)nlɪ
sure,S3,,,ʃʊr,ʃʊə
surely,S1,W2,,ˈʃʊrlɪ,ˈʃʊəlɪ
surprisingly,,W3,,sərˈpraɪzɪŋlɪ,səˈpraɪzɪŋlɪ
terribly,S2,,,ˈterəblɪ,ˈterɪblɪ
that,S1,W2,ðæt,,
then,S1,W1,ðen,,
there,S1,W1,,ðer (strong)/ðər (weak),ðeə(r) (strong)/ðə(r) (weak)
therefore,S1,W1,,ˈðerfɔːr,ˈðeəfɔː
though,S1,,ðəʊ,,
through,S1,W1,θruː,,
throughout,S2,W1,θruːˈaʊt,,
thus,,W1,ðʌs,,
today,S1,W1,təˈdeɪ,,
together,S1,W1,,təˈɡeðər,təˈɡeðə
tomorrow,S1,W2,,təˈmɔːrəʊ,təˈmɒrəʊ
tonight,S1,W2,təˈnaɪt,,
too,S1,W1,tuː,,
totally,S1,W2,ˈtəʊtəlɪ,,
truly,,W3,ˈtruːlɪ,,
twice,S2,W2,twaɪs,,
ultimately,,W3,ˈʌltɪmətlɪ,,
under,S1,W1,,ˈʌndər,ˈʌndə
underneath,S2,,,ˌʌndərˈniːθ,ʌndəˈniːθ
unfortunately,S1,W3,,ʌnˈfɔːrtʃənətlɪ,ʌnˈfɔːtʃ(ə)nətlɪ
unknown,,W2,,ˌʌnˈnəʊn,ʌnˈnəʊn
up,S1,W1,ʌp,,
upstairs,S2,,,ˌʌpˈsterz,ˌʌpˈsteəz
usually,S1,W1,ˈjuːʒʊəlɪ,,
very,S1,W1,ˈverɪ,,
virtually,S2,W2,,ˈvɜːrtʃʊəlɪ,ˈvɜːtʃʊəlɪ
way,S2,,weɪ,,
well,S1,W1,wel,,
whatsoever,S2,,wɒtsəʊˈevə,,
when,S1,W1,wen,,
whenever,S2,W3,,wenˈevər,wenˈevə
where,S1,W1,,wer,weə
wherever,S2,,,werˈevər,weərˈevə
why,S1,W1,waɪ,,
wide,S3,W3,waɪd,,
widely,,W2,ˈwaɪdlɪ,,
within,S1,W1,,wɪˈðɪn,wɪðˈɪn
without,S1,W1,,wɪˈðaʊt,wɪðˈaʊt
worse,S3,W3,,wɜːrs,wɜːs
wrong,S2,,,rɔːŋ,rɒŋ
yeah,S1,,jeə,,
yes,S1,W1,jes,,
yesterday,S1,W1,,ˈjestərdeɪ,ˈjestədeɪ
yet,S1,W1,jet,,
