word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
after,S1,W1,,ˈæftər,ˈɑːftə
although,S1,W1,ɔːlˈðəʊ,,
and,S1,W1,ænd (strong)/ənd (weak),,
as,S1,W1,æz (strong)/əz (weak),,
because,S1,W1,,bɪˈkɔːz,bɪˈkəz
before,S1,W1,,bɪˈfɔːr,bɪˈfɔː
but,S1,W1,bʌt (strong)/bət (weak),,
either,S1,W1,,ˈiːðər,ˈaɪðə
except,S2,W2,ɪkˈsept,,
how,S1,W1,haʊ,,
if,S1,W1,ɪf,,
like,S1,,laɪk,,
nor,S2,W1,,nɔːr,nɔː
now,S1,W3,naʊ,,
once,S1,W1,wʌns,,
or,S1,W1,,ɔːr,ɔː
provided,S3,W2,prəˈvaɪdɪd,,
providing,S2,,prəˈvaɪdɪŋ,,
since,S1,W1,sɪns,,
so,S1,W3,səʊ,,
than,S1,W1,ðæn (strong)/ðən (weak),,
that,S1,W1,ðæt,,
though,S1,W1,ðəʊ,,
till,S1,,tɪl,,
unless,S1,W1,,ənˈles,ʌnˈles
until,S1,W1,ənˈtɪl,,
when,S1,W1,wen,,
whenever,S2,W3,,wenˈevər,wenˈevə
where,S1,W1,,wer,weə
whereas,S2,W2,,ˌwerˈæz,weərˈæz
whether,S1,W1,,ˈweðər,ˈweðə
while,S1,W1,waɪl,,
why,S1,W1,waɪ,,
yet,,W2,jet,,
