word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
ability,S2,W1,,əˈbɪlətɪ,əˈbɪlɪtɪ
absence,S3,W2,,ˈæbsəns,ˈæbs(ə)ns
abuse,S2,W3,,əˈbjuːs,əˈbjuːz
access,S2,W1,ˈækses,,
accident,S2,W2,,ˈæksɪdənt,ˈæksɪd(ə)nt
accommodation,S2,W2,,əˌkɑːməˈdeɪʃn,əkɒməˈdeɪʃ(ə)n
account,S1,W1,əˈkaʊnt,,
achievement,S3,W2,,əˈtʃiːvmənt,əˈtʃiːvm(ə)nt
acid,,W3,ˈæsɪd,,
act,S1,W1,,ˈækt,ækt
action,S1,W1,,ˈækʃn,ˈækʃ(ə)n
activist,S3,,ˈæktɪvɪst,,
activity,S2,W1,,ækˈtɪvətɪ,ækˈtɪvɪtɪ
actor,,W3,,ˈæktər,ˈæktə
ad,S3,W3,æd,,
addition,S3,W1,,əˈdɪʃn,əˈdɪʃ(ə)n
address,S2,W2,əˈdres,,
administration,S2,W2,,ədˌmɪnɪˈstreɪʃn,ədmɪnɪˈstreɪʃ(ə)n
admission,,W3,,ədˈmɪʃn,ədˈmɪʃ(ə)n
adult,S2,W2,ˈædʌlt,,
advance,S2,W2,,ədˈvæns,ədˈvɑːns
advantage,S2,W1,,ədˈvæntɪdʒ,ədˈvɑːntɪdʒ
advert,S3,,,ˈædvɜːrt,ˈædvɜːt
advertisement,S3,,,ˌædvərˈtaɪzmənt,ədˈvɜːtɪzm(ə)nt
advertising,,W3,,ˈædvərtaɪzɪŋ,ˈædvətæɪzɪŋ
advice,S2,W2,ədˈvaɪs,,
adviser,S3,W3,,ədˈvaɪzər,ədˈvaɪzə
affair,S2,W1,,əˈfer,əˈfeə
afternoon,S1,W2,,ˌæftərˈnuːn,ɑːftəˈnuːn
age,S1,W1,eɪdʒ,,
agency,S3,W1,,ˈeɪdʒənsɪ,ˈeɪdʒ(ə)nsɪ
agent,S3,W2,,ˈeɪdʒənt,ˈeɪdʒ(ə)nt
agreement,S2,W1,,əˈɡriːmənt,əˈɡriːm(ə)nt
agriculture,,W2,,ˈæɡrɪkʌltʃər,ˈæɡrɪkʌltʃə
aid,S2,W2,eɪd,,
aim,S2,W2,eɪm,,
air,S1,W1,,er,eə
aircraft,S2,W2,,ˈerkræft,ˈeəkrɑːft
airline,S2,W3,,ˈerlaɪn,ˈeəlaɪn
airport,S3,W3,,ˈerpɔːrt,ˈeəpɔːt
alarm,S2,,,əˈlɑːrm,əˈlɑːm
album,S3,W3,ˈælbəm,,
alcohol,,W3,,ˈælkəhɔːl,ˈælkəhɒl
allowance,S2,W3,əˈlaʊəns,,
alternative,S2,W3,,ɔːlˈtɜːrnətɪv,ɔːlˈtɜːnətɪv
ambition,,W3,,æmˈbɪʃn,æmˈbɪʃ(ə)n
ambulance,S3,,,ˈæmbjələns,ˈæmbjʊl(ə)ns
amount,S1,W1,əˈmaʊnt,,
analysis,S3,W1,,əˈnæləsɪs,əˈnælɪsɪs
analyst,,W2,,ˈænəlɪst,ˈæn(ə)lɪst
anger,,W3,,ˈæŋɡər,ˈæŋɡə
angle,S3,W3,,ˈæŋɡl,ˈæŋɡ(ə)l
animal,S1,W1,,ˈænɪml,ˈænɪm(ə)l
announcement,S3,W3,,əˈnaʊnsmənt,əˈnaʊnsm(ə)nt
answer,S1,W1,,ˈænsər,ˈɑːnsə
anxiety,S3,W3,,æŋˈzaɪətɪ,æŋˈzæɪətɪ
apartment,S2,W3,,əˈpɑːrtmənt,əˈpɑːtm(ə)nt
apology,S3,,,əˈpɑːlədʒɪ,əˈpɒlədʒɪ
appeal,S2,W1,əˈpiːl,,
appearance,,W2,,əˈpɪrəns,əˈpɪər(ə)ns
apple,S2,W3,,ˈæpl,ˈæp(ə)l
application,S1,W1,,ˌæplɪˈkeɪʃn,æplɪˈkeɪʃ(ə)n
appointment,S2,W2,,əˈpɔɪntmənt,əˈpɔɪntm(ə)nt
approach,S2,W1,əˈprəʊtʃ,,
approval,S2,W3,,əˈpruːvl,əˈpruːv(ə)l
architect,,W3,,ˈɑːrkɪtekt,ˈɑːkɪtekt
architecture,S3,W3,,ˈɑːrkɪtektʃər,ˈɑːkɪtektʃə
area,S1,W1,,ˈerɪə,ˈeərɪə
argument,S1,W1,,ˈɑːrɡjʊmənt,ˈɑːɡjʊm(ə)nt
arm,S1,W1,,ɑːrm,ɑːm
army,S1,W1,,ˈɑːrmɪ,ˈɑːmɪ
arrangement,S2,W2,,əˈreɪndʒmənt,əˈreɪn(d)ʒm(ə)nt
arrival,,W3,,əˈraɪvl,əˈraɪv(ə)l
art,S1,W1,,ɑːrt,ɑːt
article,S2,W1,,ˈɑːrtɪkl,ˈɑːtɪk(ə)l
artist,S3,W2,,ˈɑːrtɪst,ˈɑːtɪst
aspect,S2,W1,ˈæspekt,,
assessment,S3,W2,əˈsesmənt,,
assignment,S2,,,əˈsaɪnmənt,əˈsaɪnm(ə)nt
assistance,S3,W2,,əˈsɪstəns,əˈsɪst(ə)ns
assistant,S3,,,əˈsɪstənt,əˈsɪst(ə)nt
association,S3,W1,,əˌsəʊʃɪˈeɪʃn,əsəʊʃɪˈeɪʃ(ə)n
assumption,S2,W2,,əˈsʌmpʃn,əˈsʌm(p)ʃ(ə)n
atmosphere,S3,W2,,ˈætməsfɪr,ˈætməsfɪə
attack,S2,W2,əˈtæk,,
attempt,S2,W1,,əˈtempt,əˈtem(p)t
attention,S2,W1,,əˈtenʃn,əˈtenʃ(ə)n
attitude,S2,W1,,ˈætɪtuːd,ˈætɪtjuːd
attorney,S2,W3,,əˈtɜːrnɪ,əˈtɜːnɪ
attraction,,W3,,əˈtrækʃn,əˈtrækʃ(ə)n
audience,S2,W2,ˈɔːdɪəns,,
aunt,S3,W3,,ænt,ɑːnt
author,,W2,,ˈɔːθər,ˈɔːθə
authority,,W1,,əˈθɔːrətɪ,ɔːˈθɒrɪtɪ
autumn,,W3,ˈɔːtəm,,
average,S2,,,ˈævərɪdʒ,ˈæv(ə)rɪdʒ
award,S3,W2,,əˈwɔːrd,əˈwɔːd
awareness,,W3,,əˈwernəs,əˈweənəs
baby,S1,W1,ˈbeɪbɪ,,
back,S1,W1,bæk,,
background,S2,W2,,ˈbækɡraʊnd,ˈbækɡræʊnd
bacon,S3,,,ˈbeɪkən,ˈbeɪk(ə)n
bag,S1,W2,bæɡ,,
balance,S2,W2,,ˈbæləns,ˈbæl(ə)ns
ball,S1,W2,bɔːl,,
ban,,W3,bæn,,
band,S2,W2,bænd,,
bang,S3,,bæŋ,,
bank,S1,W1,bæŋk,,
bar,S1,W1,,bɑːr,bɑː
barrier,,W3,,ˈbærɪər,ˈbærɪə
base,S2,W2,beɪs,,
baseball,S3,W2,ˈbeɪsbɔːl,,
basis,S2,W1,ˈbeɪsɪs,,
basket,S3,,,ˈbæskɪt,ˈbɑːskɪt
bat,S3,,bæt,,
bath,S2,W3,,bæθ,bɑːθ
bathroom,S2,W3,,ˈbæθruːm,ˈbɑːθruːm
battery,S2,,,ˈbætərɪ,ˈbæt(ə)rɪ
battle,,W2,,ˈbætl,ˈbæt(ə)l
beach,S2,W2,biːtʃ,,
bean,S2,,biːn,,
beard,S3,,,bɪrd,bɪəd
beat,S3,,biːt,,
beauty,S3,W2,ˈbjuːtɪ,,
bed,S1,W1,bed,,
bedroom,S1,W2,ˈbedruːm,,
beef,S3,,biːf,,
beer,S2,W3,,bɪr,bɪə
beginning,S1,W2,bɪˈɡɪnɪŋ,,
behalf,S3,W3,,bɪˈhæf,bɪˈhɑːf
behaviour,S2,W1,,bɪˈheɪvjər,bɪˈheɪvjə
being,S2,W3,ˈbiːɪŋ,,
belief,S3,W2,bɪˈliːf,,
bell,S2,W3,bel,,
belt,S2,W3,belt,,
bench,S2,W3,,bentʃ,ben(t)ʃ
benefit,S2,W1,ˈbenɪfɪt,,
bet,S3,,,bet,ˈbet
bicycle,,W3,,ˈbaɪsɪkl,ˈbaɪsɪk(ə)l
bid,,W3,bɪd,,
bike,S2,,baɪk,,
bill,S1,W1,bɪl,,
bin,S2,,bɪn,,
bird,S2,W2,,bɜːrd,bɜːd
birth,S2,W2,,bɜːrθ,bɜːθ
birthday,S1,W3,,ˈbɜːrθdeɪ,ˈbɜːθdeɪ
biscuit,S2,,ˈbɪskɪt,,
bit,S1,W1,bɪt,,
bite,S3,,baɪt,,
blade,S3,,bleɪd,,
block,S2,W2,,blɑːk,blɒk
bloke,S2,,bləʊk,,
blood,S2,W1,blʌd,,
blow,S3,W3,bləʊ,,
board,S1,W1,,bɔːrd,bɔːd
boat,S1,W2,bəʊt,,
body,S1,W1,,ˈbɑːdɪ,ˈbɒdɪ
boiler,S3,,,ˈbɔɪlər,ˈbɔɪlə
bomb,S3,W3,,bɑːm,bɒm
bone,S2,W2,bəʊn,,
bonus,S2,,ˈbəʊnəs,,
book,S1,W1,bʊk,,
boom,S3,,buːm,,
boot,S2,W3,buːt,,
border,S3,W2,,ˈbɔːrdər,ˈbɔːdə
boss,S2,W3,,bɔːs,bɒs
bottle,S1,W2,,ˈbɑːtl,ˈbɒt(ə)l
bottom,S1,W3,,ˈbɑːtəm,ˈbɒtəm
bowl,S2,W3,bəʊl,,
box,S1,W1,,bɑːks,bɒks
boy,S1,W1,,bɔɪ,ˌbɔɪ
boyfriend,S3,,ˈbɔɪfrend,,
brain,S2,W2,breɪn,,
branch,S2,W2,,bræntʃ,brɑːn(t)ʃ
bread,S2,W3,bred,,
break,S2,W2,breɪk,,
breakfast,S2,W2,ˈbrekfəst,,
breast,S3,,brest,,
breath,S3,W2,breθ,,
brick,S2,W3,brɪk,,
bridge,S2,W2,brɪdʒ,,
brother,S1,W1,,ˈbrʌðər,ˈbrʌðə
brush,S3,,brʌʃ,,
buck,S1,,bʌk,,
bucket,S2,,ˈbʌkɪt,,
buddy,S3,,ˈbʌdɪ,,
budget,S1,W2,ˈbʌdʒɪt,,
bug,S3,,bʌɡ,,
builder,S3,,,ˈbɪldər,ˈbɪldə
building,S1,W1,ˈbɪldɪŋ,,
bunch,S2,,,bʌntʃ,bʌn(t)ʃ
burn,S3,,,bɜːrn,bɜːn
bus,S1,W2,bʌs,,
business,S1,W1,ˈbɪznəs,,
butcher,S3,,,ˈbʊtʃər,ˈbʊtʃə
butter,S2,,,ˈbʌtər,ˈbʌtə
button,S2,,,ˈbʌtn,ˈbʌt(ə)n
buyer,S3,W3,,ˈbaɪər,ˈbaɪə
bye,S3,,baɪ,,
cabinet,S2,W2,,ˈkæbɪnət,ˈkæbɪnɪt
cable,,W3,,ˈkeɪbl,ˈkeɪb(ə)l
cake,S2,W3,keɪk,,
calculation,S2,,,ˌkælkjʊˈleɪʃn,kælkjʊˈleɪʃ(ə)n
calculator,S3,,,ˈkælkjʊleɪtər,ˈkælkjʊleɪtə
calendar,S3,,,ˈkælɪndər,ˈkælɪndə
call,S1,W1,kɔːl,,
camera,S2,W3,,ˈkæmərə,ˈkæm(ə)rə
camp,S3,W3,kæmp,,
campaign,S2,W1,kæmˈpeɪn,,
can,S2,,kæn (strong)/kən (weak),,
cancer,S2,W2,,ˈkænsər,ˈkænsə
candidate,,W2,,ˈkændɪdət,ˈkændɪdeɪt
candle,S3,,,ˈkændl,ˈkænd(ə)l
candy,S3,,ˈkændɪ,,
cap,S3,,kæp,,
capacity,S3,W2,,kəˈpæsətɪ,kəˈpæsɪtɪ
capital,S3,W1,,ˈkæpɪtl,ˈkæpɪt(ə)l
captain,,W3,ˈkæptɪn,,
car,S1,W1,,kɑːr,kɑː
card,S1,W2,,kɑːrd,kɑːd
care,S1,W1,,ker,keə
career,S2,W2,,kəˈrɪr,kəˈrɪə
carpet,S2,W3,,ˈkɑːrpɪt,ˈkɑːpɪt
carrot,S3,,ˈkærət,,
cartoon,S3,,,kɑːrˈtuːn,kɑːˈtuːn
case,S1,W1,keɪs,,
cash,S2,W2,kæʃ,,
castle,,W3,,ˈkæsl,ˈkɑːs(ə)l
cat,S1,W3,kæt,,
catalogue,,W3,,ˈkætəlɔːɡ,ˈkæt(ə)lɒɡ
category,S2,W2,,ˈkætəɡɔːrɪ,ˈkætəɡ(ə)rɪ
cause,S2,W1,kɔːz,,
CD,S3,W3,,,
ceiling,S3,W3,ˈsiːlɪŋ,,
celebration,S3,,,ˌselɪˈbreɪʃn,selɪˈbreɪʃ(ə)n
cell,S3,W2,sel,,
cellphone,S2,W3,ˈselfəʊn,,
cent,S1,W1,sent,,
centimetre,S3,W3,,ˈsentɪmiːtər,ˈsentɪmiːtə
centre,S1,W1,,ˈsentər,ˈsentə
century,S2,W1,,ˈsentʃərɪ,ˈsentʃʊrɪ
cereal,S3,,,ˈsɪrɪəl,ˈsɪərɪəl
certificate,S3,W3,,sərˈtɪfɪkət,səˈtɪfɪkət
chain,S3,W2,tʃeɪn,,
chair,S1,W2,,tʃer,tʃeə
chairman,S3,W1,,ˈtʃermən,ˈtʃeəmən
challenge,S2,W2,,ˈtʃælɪndʒ,ˈtʃælɪn(d)ʒ
champion,,W3,ˈtʃæmpɪən,,
championship,,W3,ˈtʃæmpɪənʃɪp,,
chance,S1,W1,,tʃæns,tʃɑːns
change,S1,W1,,tʃeɪndʒ,tʃeɪn(d)ʒ
channel,S3,W2,,ˈtʃænl,ˈtʃæn(ə)l
chap,S2,,tʃæp,,
chapter,S3,W1,,ˈtʃæptər,ˈtʃæptə
character,S1,W1,,ˈkærəktər,ˈkærəktə
characteristic,S3,W2,,ˌkærəktəˈrɪstɪk,kærəktəˈrɪstɪk
charge,S1,W1,,tʃɑːrdʒ,tʃɑːdʒ
charity,S3,W3,,ˈtʃærətɪ,ˈtʃærɪtɪ
chart,S3,W3,,tʃɑːrt,tʃɑːt
chat,S2,,tʃæt,,
check,S1,W3,tʃek,,
cheek,,W3,tʃiːk,,
cheese,S2,W3,tʃiːz,,
chemical,S3,W3,,ˈkemɪkl,ˈkemɪk(ə)l
chemist,S3,,ˈkemɪst,,
chemistry,S2,,ˈkemɪstrɪ,,
cheque,S2,,tʃek,,
cherry,S3,,ˈtʃerɪ,,
chest,S2,W3,tʃest,,
chicken,S2,,ˈtʃɪkɪn,,
chief,,W3,tʃiːf,,
child,S1,W1,tʃaɪld,,
childhood,,W3,ˈtʃaɪldhʊd,,
chip,S2,W3,tʃɪp,,
chocolate,S2,,,ˈtʃɑːklət,ˈtʃɒk(ə)lət
choice,S1,W1,tʃɔɪs,,
church,S1,W1,,tʃɜːrtʃ,tʃɜːtʃ
cigarette,S2,W3,,ˈsɪɡəret,sɪɡəˈret
cinema,S3,,,ˈsɪnəmə,ˈsɪnɪmə
circle,S2,W2,,ˈsɜːrkl,ˈsɜːk(ə)l
circuit,,W3,,ˈsɜːrkɪt,ˈsɜːkɪt
circumstance,S2,W1,,ˈsɜːrkəmstæns,ˈsɜːkəmst(ə)ns
citizen,S2,W2,,ˈsɪtɪzn,ˈsɪtɪz(ə)n
city,S1,W1,ˈsɪtɪ,,
claim,S2,W1,kleɪm,,
class,S1,W1,,klæs,klɑːs
classroom,S3,W3,,ˈklæsruːm,ˈklɑːsruːm
cleaner,S3,,,ˈkliːnər,ˈkliːnə
clerk,S3,,,klɜːrk,klɑːk
client,S2,W1,ˈklaɪənt,,
climate,,W3,ˈklaɪmət,,
clock,S2,W3,,klɑːk,klɒk
closet,S3,,,ˈklɑːzət,ˈklɒzɪt
cloth,S3,,,klɔːθ,klɒθ
clothes,S2,W2,,kləʊðz,kləʊ(ð)z
cloud,S3,W3,klaʊd,,
club,S1,W1,klʌb,,
clue,S2,,kluː,,
coach,S3,W2,kəʊtʃ,,
coal,S2,W2,kəʊl,,
coast,S3,W2,kəʊst,,
coat,S2,W3,,kəʊt,ˈkəʊt
code,S2,W2,kəʊd,,
coffee,S1,W2,,ˈkɔːfɪ,ˈkɒfɪ
coin,S3,,kɔɪn,,
collar,S3,,,ˈkɑːlər,ˈkɒlə
colleague,S2,W2,,ˈkɑːliːɡ,ˈkɒliːɡ
collection,S2,W1,,kəˈlekʃn,kəˈlekʃ(ə)n
college,S1,W2,,ˈkɑːlɪdʒ,ˈkɒlɪdʒ
colour,S1,W1,,ˈkʌlər,ˈkʌlə
column,S3,W2,,ˈkɑːləm,ˈkɒləm
combination,S3,W2,,ˌkɑːmbɪˈneɪʃn,kɒmbɪˈneɪʃ(ə)n
comfort,,W3,,ˈkʌmfərt,ˈkʌmfət
command,,W3,,kəˈmænd,kəˈmɑːnd
comment,S1,W2,,ˈkɑːment,ˈkɒment
