word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
about,S1,W1,əˈbaʊt,,
above,S2,W1,əˈbʌv,,
according to,S2,W1,,,
across,S1,W1,,əˈkrɔːs,əˈkrɒs
after,S1,W1,,ˈæftər,ˈɑːftə
against,S1,W1,əˈɡenst,,
along,S1,W1,,əˈlɔːŋ,əˈlɒŋ
alongside,,W3,,əˌlɔːŋˈsaɪd,əlɒŋˈsaɪd
among,S2,W1,əˈmʌŋ,,
around,S1,W1,əˈraʊnd,,
as,S1,W1,æz (strong)/əz (weak),,
at,S1,W1,æt (strong)/ət (weak),,
because,S1,W1,,bɪˈkɔːz,bɪˈkəz
before,S1,W1,,bɪˈfɔːr,bɪˈfɔː
behind,S1,W1,bɪˈhaɪnd,,
below,S2,W2,bɪˈləʊ,,
beneath,,W2,bɪˈniːθ,,
beside,S3,W2,bɪˈsaɪd,,
between,S1,W1,bɪˈtwiːn,,
beyond,S2,W1,,bɪˈjɑːnd,bɪˈjɒnd
but,S2,W3,bʌt (strong)/bət (weak),,
by,S1,W1,baɪ,,
concerning,,W3,,kənˈsɜːrnɪŋ,kənˈsɜːnɪŋ
despite,S3,W1,dɪˈspaɪt,,
down,S1,W1,daʊn,,
during,S1,W1,,ˈdʊrɪŋ,ˈdjʊərɪŋ
except,S2,W2,ɪkˈsept,,
for,S1,W1,,fɔːr (strong)/fər (weak),fɔː(r) (strong)/fə(r) (weak)
from,S1,W1,,frʌm (strong)/frəm (weak),frɒm (strong)/frəm (weak)
in,S1,W1,ɪn,,
including,S2,W1,ɪnˈkluːdɪŋ,,
inside,S2,W2,ˌɪnˈsaɪd,,
into,S1,W1,ˈɪntuː (strong)/ˈɪntə (weak),,
like,S1,W1,laɪk,,
near,S1,W1,,nɪr,nɪə
of,S1,W1,,ʌv (strong)/əv (weak),ɒv (strong)/əv (weak)
off,S1,W1,,ɔːf,ɒf
on,S1,W1,,ɑːn,ɒn
onto,S1,W2,,ˈɑːntə,ˈɒntə
opposite,S2,W2,,ˈɑːpəzət,ˈɒpəzɪt
out,S1,W1,aʊt,,
outside,S1,W1,ˌaʊtˈsaɪd,,
over,S1,W1,,ˈəʊvər,ˈəʊvə
past,S1,W2,,pæst,pɑːst
per,S3,W1,,pɜːr (strong)/pər (weak),pɜː(r) (strong)/pə(r) (weak)
plus,S1,W2,plʌs,,
round,S2,W2,raʊnd,,
since,S1,W1,sɪns,,
than,S1,W1,ðæn (strong)/ðən (weak),,
through,S1,W1,θruː,,
throughout,S2,W1,θruːˈaʊt,,
till,S1,,tɪl,,
to,S1,W1,tuː (strong)/tə (weak),,
towards,S1,W1,,tɔːrdz,təˈwɔːdz
under,S1,W1,,ˈʌndər,ˈʌndə
underneath,S2,,,ˌʌndərˈniːθ,ʌndəˈniːθ
unlike,,W3,,ˌʌnˈlaɪk,ʌnˈlaɪk
until,S1,W1,ənˈtɪl,,
up,S1,W1,ʌp,,
upon,S2,W1,,əˈpɑːn,əˈpɒn
via,,W2,ˈvaɪə,,
with,S1,W1,wɪð,,
within,S1,W1,,wɪˈðɪn,wɪðˈɪn
without,S1,W1,,wɪˈðaʊt,wɪðˈaʊt
worth,S1,W2,,wɜːrθ,wɜːθ
