word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
all,S1,W1,ɔːl,,
another,S1,W1,,əˈnʌðər,əˈnʌðə
any,S1,W1,ˈenɪ,,
anybody,S1,W3,,ˈenɪbɑːdɪ,ˈenɪbɒdɪ
anyone,S1,W1,ˈenɪwʌn,,
anything,S1,W1,ˈenɪθɪŋ,,
bit,S1,W1,bɪt,,
both,S1,W1,bəʊθ,,
each,S1,W1,iːtʃ,,
each other,S1,W1,,,
either,S1,W1,,ˈiːðər,ˈaɪðə
enough,S1,W2,ɪˈnʌf,,
everybody,S1,W3,,ˈevrɪbɑːdɪ,ˈevrɪbɒdɪ
everyone,S1,W1,ˈevrɪwʌn,,
everything,S1,W1,ˈevrɪθɪŋ,,
few,S1,W1,fjuː,,
half,S1,W1,,hæf,hɑːf
he,S1,W1,hiː (strong)/hɪ (weak),,
her,S1,W1,,hɜːr (strong)/hər (weak),hɜː(r) (strong)/hə(r) (weak)
hers,S3,W3,,hɜːrz,hɜːz
herself,S2,W1,,hɜːrˈself,hɜːˈself
him,S1,W1,hɪm,,
himself,S1,W1,hɪmˈself,,
his,S1,W1,hɪz,,
I,S1,W1,,,
it,S1,W1,ɪt,,
itself,S1,W1,ɪtˈself,,
last,S1,W1,,læst,lɑːst
least,S1,W1,liːst,,
less,S1,W1,les,,
little,S1,W1,,ˈlɪtl,ˈlɪt(ə)l
lot,S1,W1,,lɑːt,lɒt
many,S1,W1,ˈmenɪ,,
me,S1,W1,miː (strong)/mɪ (weak),,
mine,S1,,maɪn,,
more,S1,W1,,mɔːr,mɔː
most,S1,W1,məʊst,,
much,S1,W1,mʌtʃ,,
myself,S1,W1,maɪˈself,,
neither,,W3,,nɪːðə(r),ˈnaɪðə
no one,S1,W2,,,
nobody,S1,W2,ˈnəʊbədɪ,,
none,S1,W2,nʌn,,
nothing,S1,W1,ˈnʌθɪŋ,,
one,S1,W1,wʌn,,
one another,S3,W3,,,
ours,S1,,,ɑːrz,ˈaʊəz
ourselves,S1,W3,,ɑːrˈselvz,aʊəˈselvz
own,S1,W1,əʊn,,
plenty,S1,W1,ˈplentɪ,,
same,S1,W1,seɪm,,
several,S1,W1,,ˈsevrəl,ˈsev(ə)r(ə)l
she,S1,W1,ʃiː (strong)/ʃɪ (weak),,
some,S1,W1,sʌm (strong)/səm (weak),,
somebody,S1,W3,ˈsʌmbədɪ,,
someone,S1,W1,ˈsʌmwʌn,,
something,S1,W1,ˈsʌmθɪŋ,,
such,S1,W1,sʌtʃ,,
that,S1,W1,ðæt,,
theirs,S3,,,ðerz,ðeəz
them,S1,W1,ðem (strong)/ðəm (weak),,
themselves,S1,W1,,ðəmˈselvz,ð(ə)mˈselvz
there,S1,W1,,ðer (strong)/ðər (weak),ðeə(r) (strong)/ðə(r) (weak)
they,S1,W1,ðeɪ,,
this,S1,W1,ðɪs,,
us,S1,W1,ʌs (strong)/əs (weak),,
we,S1,W1,wiː (strong)/wɪ (weak),,
what,S1,W1,,wʌt,wɒt
whatever,S1,W1,,wətˈevər,wɒtˈevə
when,S1,W1,wen,,
where,S1,W1,,wer,weə
which,S1,W1,wɪtʃ,,
who,S1,W1,huː,,
whoever,S2,,,huːˈevər,huːˈevə
whom,S3,W1,huːm,,
whose,S2,W1,huːz,,
you,S1,W1,,juː (strong)/jə (weak),juː (strong)/ju (weak)
yours,S1,W3,,jərz,jɔːz
yourself,S1,W2,,jɔːrˈself,jɔːˈself
