word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
abandon,,W3,,əˈbændən,əˈbænd(ə)n
absorb,,W3,,əbˈzɔːrb,əbˈzɔːb
accept,S1,W1,əkˈsept,,
accompany,,W2,əˈkʌmpənɪ,,
account,S3,W2,əˈkaʊnt,,
accuse,,W3,əˈkjuːz,,
achieve,S2,W1,əˈtʃiːv,,
acknowledge,S3,W3,,əkˈnɑːlɪdʒ,əkˈnɒlɪdʒ
acquire,,W2,,əˈkwaɪər,əˈkwaɪə
act,S2,W1,,ˈækt,ækt
adapt,,W3,əˈdæpt,,
add,S1,W1,æd,,
address,S2,W2,əˈdres,,
adjust,,W3,əˈdʒʌst,,
admire,S3,,,ədˈmaɪər,ədˈmaɪə
admit,S2,W1,ədˈmɪt,,
adopt,S3,W2,,əˈdɑːpt,əˈdɒpt
advance,,W3,,ədˈvæns,ədˈvɑːns
advertise,S3,W3,,ˈædvərtaɪz,ˈædvətæɪz
advise,S2,W2,ədˈvaɪz,,
affect,S2,W1,əˈfekt,,
afford,S1,W3,,əˈfɔːrd,əˈfɔːd
agree,S1,W1,əˈɡriː,,
aim,S2,W2,eɪm,,
allow,S1,W1,əˈlaʊ,,
alter,S3,W3,,ˈɔːltər,ˈɔːltə
analyse,,W3,,ˈænəlaɪz,ˈæn(ə)læɪz
announce,S2,W1,əˈnaʊns,,
annoy,S3,,əˈnɔɪ,,
answer,S1,W2,,ˈænsər,ˈɑːnsə
anticipate,S3,,ænˈtɪsɪpeɪt,,
apologize,S2,,,əˈpɑːlədʒaɪz,əˈpɒlədʒaɪz
appeal,S3,W3,əˈpiːl,,
appear,S2,W1,,əˈpɪr,əˈpɪə
apply,S1,W1,əˈplaɪ,,
appoint,S2,W2,əˈpɔɪnt,,
appreciate,S2,W3,əˈpriːʃɪeɪt,,
approach,S2,W2,əˈprəʊtʃ,,
approve,S3,W2,əˈpruːv,,
argue,S2,W1,,ˈɑːrɡjuː,ˈɑːɡjuː
arise,S3,W2,əˈraɪz,,
arrange,S2,W2,,əˈreɪndʒ,əˈreɪn(d)ʒ
arrest,,W3,əˈrest,,
arrive,S2,W1,əˈraɪv,,
ask,S1,W1,,æsk,ɑːsk
assess,S2,W2,əˈses,,
assist,S3,W3,əˈsɪst,,
associate,S3,W2,,əˈsəʊsɪeɪt,əˈsəʊsɪət
assume,S2,W1,,əˈsuːm,əˈsjuːm
assure,S2,W3,,əˈʃʊr,əˈʃʊə
attach,S2,W2,əˈtætʃ,,
attack,S3,W2,əˈtæk,,
attempt,S2,W2,,əˈtempt,əˈtem(p)t
attend,S2,W2,əˈtend,,
attract,S2,W2,əˈtrækt,,
avoid,S2,W1,əˈvɔɪd,,
award,,W3,,əˈwɔːrd,əˈwɔːd
back,S2,W3,bæk,,
bake,S3,,beɪk,,
balance,S3,,,ˈbæləns,ˈbæl(ə)ns
bang,S3,,bæŋ,,
base,S1,W1,beɪs,,
be,S1,W1,biː (strong)/bɪ (weak),,
bear,S2,W2,,ber,beə
beat,S2,W2,biːt,,
become,S1,W1,bɪˈkʌm,,
