word;transcription;translation;success_number;learning_date
access;ˈækses;доступ;0;
accumulating;əˈkjuːmjʊleɪtɪŋ;накапливающий;0;
achieve;əˈʧiːv;достигать, добиваться;0;
achievements;əˈtʃiːvmənts;достижения;0;
acquire;əˈkwaɪə;приобретать;0;
adopt;əˈdɔpt;принимать, внедрять;0;
advance;ədˈvɑ:ns;прогресс, достижения;0;
advanced;ədˈvɑːnst;передовой, развитый, продвинутый;0;
advancement;ədˈvɑːnsm(ə)nt;продвижение;0;
adverb;ˈadvəːb;наречие;0;
advisable;ədˈvʌɪzəb(ə)l;целесообразный;0;
alignment;əˈlʌɪnm(ə)nt;выравнивание;0;
alike;əˈlaɪk;похожий;0;
allot;əˈlɔt;выделять;0;
application;ˌæplɪˈkeɪʃən;применение;0;
appropriate;əˈprəʊpriət;подходящий;0;
appropriate;əˈprəʊprɪɪt;соответствующий, подходящий;0;
aptitude;ˈaptɪtjuːd;способность;0;
attach;əˈtæʧ;пристроить;0;
attention;əˈtɛnʃ(ə)n;внимание;0;
audience;ˈɔ:djəns;аудитория;0;
automatically;ˌɔːtəˈmatɪkli;автоматически;0;
available;əˈveɪləbl;доступный;0;
awareness;əˈweə.nəs;осознание;0;
background;ˈbækɡraʊnd;задний план;0;
background;ˈbækgraʊnd;фон;0;
beforehand;bɪˈfɔːhand;заблаговременно;0;
benefit;ˈbenɪfɪt;выгода;0;
benefit;ˈbenɪfɪt;выгода;0;
breakthrough;ˈbreɪkˈθru:;прорыв;0;
brief;briːf;краткий;0;
calmly;ˈkɑ:mlɪ;спкойной;0;
capability;keɪpəˈbɪlɪtɪ;возможность;0;
charm;tʃɑːm;очаровать;0;
chart;ʧɑːt;диаграмма;0;
collaborating;kəˈlæbəreɪtɪŋ;сотрудничество;0;
combat;ˈkɔmbət;бороться;0;
compatible;kəmˈpætəbl;совместимый;0;
comprehension;kɔmprɪˈhenʃn;понимание, осмысление;0;
conclude;kənˈkluːd;заключить;0;
conclusion;kənˈkluːʒ(ə)n;заключение;0;
condition;kənˈdɪʃən;условие;0;
consensus;kənˈsensəs;согласие;0;
consider;kənˈsɪdə;рассматривать;0;
construct;kənˈstrʌkt;строить;0;
consumer;kənˈsjuːmə;потребитель;0;
convenient;kənˈviːnɪənt;удобный;0;
conventionally;kənˈvɛnʃ(ə)nəli;условно;0;
conversations;kɒnvəˈseɪʃ(ə)n;разговор, беседа;0;
critique;krɪˈtiːk;критика;0;
crucial;ˈkruːʃ(ə)l;ключевой;0;
curiosity;kjʊərɪˈɒsɪti;любопытство;0;
data;ˈdeɪtə;данные;0;
depending;dɪˈpendɪŋ;в зависимости;0;
desired;dɪˈzaɪəd;желаемый;0;
deviation;diːvɪˈeɪʃn;отклонение;0;
diminish;dɪˈmɪnɪʃ;уменьшать;0;
disadvantage;ˌdɪsədˈvɑːntɪdʒ;недостаток;0;
discussion;dɪˈskʌʃ(ə)n;дискуссия;0;
disease;dɪˈziːz;болезнь;0;
distracting;dɪˈstraktɪŋ;отвлекающий;0;
